Question,Answer
What is u-Pustaka?,"u-Pustaka is a collaborative digital platform initiated by the Ministry of Information Communications and Culture (KPKK), facilitated through the Malaysian Communications and Multimedia Commission (MCMC), with support from the National Library of Malaysia (PNM) and various state library corporations"
What kind of collaboration does u-Pustaka involve?,"u-Pustaka involves collaboration between governmental bodies such as KPKK, MCMC, PNM, and state library corporations like Selangor State Library Corporation (PPAS), Negeri Sembilan State Library Corporation (PPANS), among others."
How does u-Pustaka benefit users?,"u-Pustaka provides users with access to a wide range of digital resources including e-books, e-magazines, and e-journals, enhancing access to knowledge and information."
Who can access u-Pustaka?,"u-Pustaka is accessible to Malaysian citizens, offering resources through collaboration with various state library corporations and governmental agencies."
Is u-Pustaka free to use?,"Yes, u-Pustaka is free to use for Malaysian citizens, enabling them to access digital resources without any subscription fees."
How can users access u-Pustaka's resources?,"Users can access u-Pustaka's resources through its website or mobile application, making it convenient to browse and borrow digital materials."
How does u-Pustaka ensure the quality of its resources?,"u-Pustaka ensures the quality of its resources through collaboration with reputable publishers, academic institutions, and content providers, ensuring users have access to credible information."
Can users provide feedback or report issues with u-Pustaka?,"Yes, users can provide feedback or report issues through designated channels, enabling continuous improvement and addressing any concerns promptly."
What are the future plans for u-Pustaka?,"Future plans for u-Pustaka may include expanding its collection of digital resources, enhancing user experience, and forging new collaborations to enrich its offerings."
What organizations are involved in the u-Pustaka collaboration?,"The u-Pustaka collaboration involves the Ministry of Information Communications and Culture (KPKK), the Malaysian Communications and Multimedia Commission (MCMC), the National Library of Malaysia (PNM), and the following consortium members:
Selangor State Library Corporation (PPAS)
Negeri Sembilan State Library Corporation (PPANS)
Sarawak State Library (Pustaka)
INTAN Library at Bukit Kiara
Melaka State Library Corporation (PERPUSTAM)
Kedah State Library Corporation (PPAK)
Additionally, the collaboration includes the following agencies:
Economic Planning Unit (EPU)
National Centre of Excellence for Sensor Technology (NEST), Universiti Putra Malaysia
Malaysian Electronic Clearing Corporation Sdn. Bhd. (MyClear)
Touch 'n Go Sdn Bhd
Pahang State Library Corporation (PPAP)
Kuala Lumpur Library (PKL)
Sabah State Library
Terengganu State Library Corporation (PPAT)
Perlis State Library Corporation (PPANs)
Malaysian Administrative Modernisation and Management Planning Unit (MAMPU)
National Registration Department, Ministry of Home Affairs (JPN)
Pos Malaysia Berhad (PMB)
Bank Islam Malaysia Berhad"
What is the Vission of u-Pustaka?,"Our Malaysian knowledge-based society experience engaged life-long learning anytime, anywhere and continued enhancements to quality of work and life."
What is the Mission of u-Pustaka?,Fostering an engaging life-long learning experience for an inclusive knowledge-based society in the context of 1 Malaysia with the provision of Ubiquitous Pustaka Services (u-Pustaka) in support of the National Broadband Initiative (NBI).
What is the Motto of u-Pustaka?,"Think Knowledge, Think u-Pustaka."
The Logo and Rationale of u-Pustaka?,"The red curved line reflects broadband which is coordinated with the word 'Pustaka' to form a 'U' character which carries the meaning of 'u-Pustaka';
The top 'crown' is a combination of 14 book pages which represents the number of states in Malaysia and the diversity of knowledge heritage. The combination of the 'crown' and the word 'PUSTAKA' reflects the 'knowledge tree' concept in the spirit of strategic alliance. The term 'PUSTAKA' is used to highlight the identity of u-Pustaka globally;
The square box symbolises the strength of u-Pustaka services;	
The red colour that embellishes the word 'PUSTAKA' expresses the steadfastness of the services;
Combination of blue and green colours symbolise equality, user friendliness and its support towards green technology initiatives;	
The Malaysian flag known as 'Jalur Gemilang', symbolises the aspiration of 1Malaysia spirit which is supported by u-Pustaka in its effort to nurture an inclusive knowledge society."
What is the mailing address for u-Pustaka Consortium?,"u-Pustaka Consortium's mailing address is: u-Pustaka Consortium c/o National Library of Malaysia, 232, Jalan Tun Razak 50572 Kuala Lumpur."
What are the telephone contact details for u-Pustaka Consortium?,"The telephone contact details for u-Pustaka Consortium are as follows:	En. Wan Yuhaimisham Wan Yusoff: 03-2687 1726
En. Lai Sow Woon: 03-2687 1719	Pn. Nurfatihah Binti S Baharuddin: 03-2678 1893
Pn. Natrah Ramadiah Mohd Shukor: 03-2687 4212	"
What is the fax number for u-Pustaka Consortium?,The fax number for u-Pustaka Consortium is 03-2694 2490.
What is the email address for u-Pustaka Consortium?,The email address for u-Pustaka Consortium is webmaster.u-library@pnm.gov.my.
How can I send in an enquiry to u-Pustaka Consortium?,You may send in your enquiry using the Ask u-Pustaka service available on their website.
How many groups of membership are there in the u-Pustaka Portal?,"There are two main groups, namely u-Pustaka members (Malaysian only) and On-line Members (for all)."
What is the difference between u-Pustaka members and On-line Members?,"On-line Members are open to everyone while only Malaysians and Malaysian PR holders can register to become u-Pustaka members . Both memberships are allowed access to all online services in the u-Pustaka portal. However, only u-Pustaka members can borrow books from Consortium Libraries."
