source,target
Ministry of Information Communications and Culture (KPKK),马来西亚信息、通信与文化部
Malaysian Communications and Multimedia Commission (MCMC),马来西亚通讯及多媒体委员会
Selangor State Library Corporation (PPAS),雪兰莪州立图书馆公司
Negeri Sembilan State Library Corporation (PPANS),森美兰州立图书馆公司
Sarawak State Library (Pustaka),砂拉越州立图书馆
INTAN Library at Bukit Kiara,基拉国际公共行政培训学院图书馆
Melaka State Library Corporation (PERPUSTAM),马六甲州立图书馆公司
Kedah State Library Corporation (PPAK),吉打州立图书馆公司
Economic Planning Unit (EPU),经济策划单位
National Centre of Excellence for Sensor Technology (NEST),国家传感技术卓越中心
Universiti Putra Malaysia,马来西亚博特拉大学
Malaysian Electronic Clearing Corporation Sdn. Bhd. (MyClear),马来西亚电子结算公司有限公司
Touch 'n Go Sdn Bhd,Touch 'n Go Sdn Bhd
Pahang State Library Corporation (PPAP),彭亨州立图书馆公司
Kuala Lumpur Library (PKL),吉隆坡图书馆
Sabah State Library,沙巴州立图书馆
Terengganu State Library Corporation (PPAT),登嘉楼州立图书馆公司
Perlis State Library Corporation (PPANs),玻璃市州立图书馆公司
Malaysian Administrative Modernisation and Management Planning Unit (MAMPU),马来西亚行政现代化和管理策划单位
National Registration Department, Ministry of Home Affairs (JPN),内政部国家登记局
Pos Malaysia Berhad (PMB),马来西亚邮政有限公司
Bank Islam Malaysia Berhad,马来西亚伊斯兰银行有限公司
MyKad,马来西亚身份证
MyKid,马来西亚儿童身份证
MyPR,马来西亚永久居民身份证
Armed Forces ID,武装部队身份证
Jalur Gemilang,辉煌条纹旗
1Malaysia,一个马来西亚
Pos Laju,快邮
MEPS,马来西亚电子支付系统
Quick2Go,快速通行
FPX,金融处理交换
TouchNGo,一触即通
Citizens' VOICE,公民之声
MySMS 15888,我的短信15888
Web Publishing,网页出版
Event Highlights,活动亮点
RSS Feed,RSS订阅
National Union Catalogue (KIK),国家联合目录
National Broadband Initiative (NBI),国家宽带计划
One Search,一键搜索
e-Parcel,电子包裹
Delivery Channel,配送渠道
Inter-lending Service,馆际借书服务
Ask u-Pustaka,问国家图书馆
Chat with Your Expert,专家在线咨询
Discussion Forum,讨论论坛
My Basket,我的篮子
My Booking List,我的预约列表
My Reservations (Waiting List),我的预订（等候名单）
My Inter-lending Transactions,我的馆际借书交易
My Return Request List,我的归还请求列表
My Bills,我的账单
U-Pustaka,National Library's
u-pustaka,National Library's
u-Pustaka,National Library's
Pustaka,图书馆
u-Member,u-会员
Bahasa Melayu,马来语
